Run,SetpointC,Time_min,Wafer,Slot,Pt,MeasPos,FurnPos,Thk_A,GOF,Recipe,MeasDate,MetrologyOK,Flagged
900C,900,60,A10,10,5,R,Left,715.9,1.7117,Si02_dwp,2026-02-17,0,0
900C,900,60,A11,11,1,T,Bottom,719.9,1.3537,Si02_dwp,2026-02-17,0,0
900C,900,60,A11,11,2,C,Center,764.8,1.4408,Si02_dwp,2026-02-17,0,0
900C,900,60,A11,11,3,B,Top,740.6,1.676,Si02_dwp,2026-02-17,0,0
900C,900,60,A11,11,4,L,Right,760.9,1.5394,Si02_dwp,2026-02-17,0,0
900C,900,60,A11,11,5,R,Left,713.5,1.58,Si02_dwp,2026-02-17,0,0
900C,900,60,A12,12,1,T,Bottom,705.6,0.98902,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A12,12,2,C,Center,780.2,0.99398,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A12,12,3,B,Top,851.6,0.99477,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A12,12,4,L,Right,786.8,0.99436,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A12,12,5,R,Left,761.8,0.9937,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A13,13,1,T,Bottom,721.6,0.98729,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A13,13,2,C,Center,902.8,0.99447,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A13,13,3,B,Top,934.4,0.99472,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A13,13,4,L,Right,858.8,0.99436,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A13,13,5,R,Left,777.1,0.99285,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A14,14,1,T,Bottom,746.5,0.99215,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A14,14,2,C,Center,863.5,0.99386,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A14,14,3,B,Top,914.0,0.99442,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A14,14,4,L,Right,868.5,0.99348,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A14,14,5,R,Left,782.4,0.99263,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A15,15,1,T,Bottom,1202.4,0.99604,SiO2 on Si DWP,2026-02-10,1,1
900C,900,60,A15,15,2,C,Center,1314.0,0.99655,SiO2 on Si DWP,2026-02-10,1,1
900C,900,60,A15,15,3,B,Top,1257.9,0.99639,SiO2 on Si DWP,2026-02-10,1,1
900C,900,60,A15,15,4,L,Right,1330.3,0.99624,SiO2 on Si DWP,2026-02-10,1,1
900C,900,60,A15,15,5,R,Left,1169.9,0.99592,SiO2 on Si DWP,2026-02-10,1,1
1100C,1100,60,A00,0,1,T,Bottom,4333.9,0.97953,SiO2 on Si,2026-02-24,0,0
1100C,1100,60,A00,0,2,C,Center,4336.9,0.97684,SiO2 on Si,2026-02-24,0,0
1100C,1100,60,A00,0,3,B,Top,4338.7,0.97415,SiO2 on Si,2026-02-24,0,0
1100C,1100,60,A00,0,4,L,Right,4337.6,0.97239,SiO2 on Si,2026-02-24,0,0
1100C,1100,60,A00,0,5,R,Left,4337.2,0.97093,SiO2 on Si,2026-02-24,0,0
1100C,1100,60,A01,1,1,T,Bottom,4310.8,0.96909,SiO2 on Si,2026-02-24,0,0
1100C,1100,60,A01,1,2,C,Center,4309.7,0.96181,SiO2 on Si,2026-02-24,0,0
1100C,1100,60,A01,1,3,B,Top,4325.4,0.95717,SiO2 on Si,2026-02-24,0,0
1100C,1100,60,A01,1,4,L,Right,4320.2,0.95798,SiO2 on Si,2026-02-24,0,0
1100C,1100,60,A01,1,5,R,Left,4311.3,0.95486,SiO2 on Si,2026-02-24,0,0
1100C,1100,60,A02,2,1,T,Bottom,4308.7,0.9447,SiO2 on Si,2026-02-24,0,0
1100C,1100,60,A02,2,2,C,Center,4339.0,0.94517,SiO2 on Si,2026-02-24,0,0
1100C,1100,60,A02,2,3,B,Top,4348.7,0.94184,SiO2 on Si,2026-02-24,0,0
1100C,1100,60,A02,2,4,L,Right,4329.9,0.93808,SiO2 on Si,2026-02-24,0,0
1100C,1100,60,A02,2,5,R,Left,4340.8,0.93413,SiO2 on Si,2026-02-24,0,0
1100C,1100,60,A03,3,1,T,Bottom,4299.3,0.93166,SiO2 on Si,2026-02-24,0,0
1100C,1100,60,A03,3,2,C,Center,4300.5,0.92829,SiO2 on Si,2026-02-24,0,0
1100C,1100,60,A03,3,3,B,Top,4310.9,0.93063,SiO2 on Si,2026-02-24,0,0
1100C,1100,60,A03,3,4,L,Right,4305.6,0.92209,SiO2 on Si,2026-02-24,0,0
1100C,1100,60,A03,3,5,R,Left,4302.8,0.9218,SiO2 on Si,2026-02-24,0,0
1100C,1100,60,A04,4,1,T,Bottom,4181.1,0.98828,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A04,4,2,C,Center,4227.1,0.98671,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A04,4,3,B,Top,4240.8,0.986,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A04,4,4,L,Right,4234.9,0.98693,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A04,4,5,R,Left,4244.6,0.98655,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A05,5,1,T,Bottom,4164.3,0.98761,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A05,5,2,C,Center,4196.7,0.98757,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A05,5,3,B,Top,4236.6,0.98719,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A05,5,4,L,Right,4209.8,0.98773,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A05,5,5,R,Left,4232.4,0.98673,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A06,6,1,T,Bottom,4125.1,0.98777,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A06,6,2,C,Center,4149.8,0.98782,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A06,6,3,B,Top,4175.9,0.98791,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A06,6,4,L,Right,4157.1,0.98833,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A06,6,5,R,Left,4168.2,0.98827,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A07,7,1,T,Bottom,4134.7,0.98883,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A07,7,2,C,Center,4142.3,0.98851,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A07,7,3,B,Top,4189.0,0.98797,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A07,7,4,L,Right,4154.1,0.98859,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A07,7,5,R,Left,4157.5,0.98845,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A08,8,1,T,Bottom,4134.5,0.98966,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A08,8,2,C,Center,4190.7,0.98951,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A08,8,3,B,Top,4194.6,0.98917,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A08,8,4,L,Right,4183.6,0.98972,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A08,8,5,R,Left,4170.8,0.98944,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A09,9,1,T,Bottom,4097.1,0.98954,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A09,9,2,C,Center,4119.3,0.98936,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A09,9,3,B,Top,4158.0,0.98971,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A09,9,4,L,Right,4137.5,0.98964,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A09,9,5,R,Left,4147.0,0.98896,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A10,10,1,T,Bottom,4124.2,0.9867,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A10,10,2,C,Center,4126.1,0.98913,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A10,10,3,B,Top,4162.1,0.9897,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A10,10,4,L,Right,4135.5,0.98926,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A10,10,5,R,Left,4143.3,0.9896,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A11,11,1,T,Bottom,4073.5,0.98862,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A11,11,2,C,Center,4088.7,0.98888,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A11,11,3,B,Top,4127.3,0.98873,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A11,11,4,L,Right,4097.3,0.98865,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A11,11,5,R,Left,4120.0,0.98848,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A12,12,1,T,Bottom,4152.0,0.98657,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A12,12,2,C,Center,4105.3,0.98846,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A12,12,3,B,Top,4155.9,0.98778,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A12,12,4,L,Right,4105.9,0.98798,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A12,12,5,R,Left,4120.9,0.98803,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A13,13,1,T,Bottom,4072.4,0.98778,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A13,13,2,C,Center,4118.1,0.98797,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A13,13,3,B,Top,4200.2,0.98697,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A13,13,4,L,Right,4136.8,0.98781,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A13,13,5,R,Left,4147.8,0.98794,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A14,14,1,T,Bottom,4044.3,0.98746,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A14,14,2,C,Center,4089.1,0.98605,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A14,14,3,B,Top,4141.9,0.98808,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A14,14,4,L,Right,4078.2,0.98782,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A14,14,5,R,Left,4116.8,0.98793,Si02_dwp,2026-02-17,1,0
1100C,1100,60,A15,15,1,T,Bottom,4124.0,0.98771,Si02_dwp,2026-02-17,1,1
1100C,1100,60,A15,15,2,C,Center,4237.9,0.98626,Si02_dwp,2026-02-17,1,1
1100C,1100,60,A15,15,3,B,Top,4583.9,0.9806,Si02_dwp,2026-02-17,1,1
1100C,1100,60,A15,15,4,L,Right,4503.0,0.97709,Si02_dwp,2026-02-17,1,1
1100C,1100,60,A15,15,5,R,Left,4239.5,0.98582,Si02_dwp,2026-02-17,1,1
